Degree,Branch,CourseCode,DegreeType,Department
M.Sc. (5 Years Integrated),CS,PH5152,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,HS5161,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,CY5253,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,HS5252,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,MA5251,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,MA5891,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,MA5991,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5071,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,MA5071,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5072,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5073,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5074,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5071,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5072,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5075,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5076,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5077,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5078,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5079,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5073,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5080,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5074,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5081,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5082,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5083,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5084,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5085,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5086,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5087,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5088,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5075,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5089,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5076,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5077,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5090,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5091,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5092,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5078,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XT5093,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5079,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5151,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5152,Regular,Mathematics
M.Sc. (5 Years Integrated),CS,XC5161,Regular,Mathematics
