CourseCode,CourseTitle
 HS5152, Communicative English 
 MA5151, Calculus 
 PH5152, Applied Physics 
 HS5161, Communication Skill Laboratory 
 CY5253, Chemistry of Materials 
 HS5252, Technical Communication 
 MA5251, Transform Techniques and Partial Differential Equations
